"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\C#\ChatServer\SocketServer\Server\ISocketServer.cs", "C#", 0, 15, 0, 0, 0, 2, 17
"d:\LanguageLearnig\C#\ChatServer\SocketServer\Server\SocketServer.cs", "C#", 0, 80, 0, 0, 8, 16, 104
"d:\LanguageLearnig\C#\ChatServer\SocketServer\Server\SocketServerBuilder.cs", "C#", 0, 19, 0, 0, 0, 4, 23
"d:\LanguageLearnig\C#\ChatServer\SocketServer\SocketServer.csproj", "XML", 19, 0, 0, 0, 0, 4, 23
"d:\LanguageLearnig\C#\ChatServer\SocketServer\bin\Debug\net6.0\SocketServer.deps.json", "JSON", 0, 0, 604, 0, 0, 0, 604
"d:\LanguageLearnig\C#\ChatServer\SocketServer\bin\Debug\net8.0\SocketServer.deps.json", "JSON", 0, 0, 552, 0, 0, 0, 552
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\Debug\net6.0\SocketServer.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\Debug\net6.0\SocketServer.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\Debug\net6.0\SocketServer.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\Debug\net8.0\SocketServer.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\Debug\net8.0\SocketServer.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\Debug\net8.0\SocketServer.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\SocketServer.csproj.nuget.dgspec.json", "JSON", 0, 0, 115, 0, 0, 0, 115
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\SocketServer.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 16
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\SocketServer.csproj.nuget.g.targets", "XML", 7, 0, 0, 0, 0, 0, 7
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\project.assets.json", "JSON", 0, 0, 1440, 0, 0, 0, 1440
"d:\LanguageLearnig\C#\ChatServer\SocketServer\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"Total", "-", 1286, 8229, 17748, 182, 1738, 1541, 30724
