"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\CHCommon.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\CHCommon.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\CHCommon.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Common.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Common.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.dgspec.json", "JSON", 0, 93, 0, 0, 0, 0, 93
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 16
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 2
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\project.assets.json", "JSON", 0, 547, 0, 0, 0, 0, 547
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\project.packagespec.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\ChatServer.DataBase.csproj", "XML", 0, 0, 22, 0, 0, 5, 27
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\ChatServerDbContext.cs", "C#", 16, 0, 0, 0, 9, 5, 30
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\ChatServerDbcontextFactory.cs", "C#", 17, 0, 0, 0, 1, 6, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataBaseExtension.cs", "C#", 29, 0, 0, 0, 3, 4, 36
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\ChatPrivate.cs", "C#", 32, 0, 0, 0, 0, 6, 38
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\FriendRelation.cs", "C#", 28, 0, 0, 0, 0, 5, 33
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\FriendRequest.cs", "C#", 38, 0, 0, 0, 0, 9, 47
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\SacurityQuestion.cs", "C#", 28, 0, 0, 0, 0, 6, 34
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\User.cs", "C#", 26, 0, 0, 0, 0, 10, 36
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DataEntity\UserOnline.cs", "C#", 26, 0, 0, 0, 2, 6, 34
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\DbSettings.cs", "C#", 20, 0, 0, 0, 0, 3, 23
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\ChatPrivateRepository.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\FriendRelationRepository.cs", "C#", 17, 0, 0, 0, 0, 2, 19
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\FriendRequestRepository.cs", "C#", 17, 0, 0, 0, 0, 2, 19
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\SacurityQuestionRepository.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\UserOnlineRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\Repository\UserRepository.cs", "C#", 12, 0, 0, 0, 0, 2, 14
